315,MSMCSSM,32,23630,10,2,20,,f,1483,72,Black
316,thomasbrent,692,352889,257,24,410,2013-06-08 22:42:29.428,f,1516,-7,Black
317,prime1st,60,49968,24,1,35,,f,1439,-6,White
318,Bravery,141,213019,83,5,53,2024-11-20 15:10:41.152,f,1333,107,Black
319,ale226571,0,0,0,0,0,,f,1507,-11,Black
320,Salamandra,10002,4920070,4620,159,5218,2017-05-01 10:00:37.542,f,1361,14,White
321,fuck_you,0,0,0,0,0,,f,1350,16,Black
322,traker100,4093,1625944,2433,121,1539,2013-12-10 10:02:07.292,f,1756,10,White
323,R4Y5T3R,6324,3342981,2812,189,3322,2024-08-12 10:26:24.204,f,1257,-10,White
324,Andrandand,0,0,0,0,0,,f,1563,-10,Black
325,Arabika2,5261,8712501,2438,288,2530,2020-01-22 06:48:52.086,f,1519,-15,White
326,n_farhang,1887,1298897,707,52,1128,2023-02-07 02:08:42.111,f,1398,25,Black
327,k074,4166,1630653,1844,92,2230,2015-03-14 18:38:57.525,f,1514,14,White
328,flatron1,7577,3461109,4404,381,2784,2024-11-21 13:07:52.97,t,1642,-16,Black
329,Messsi,7866,1530187,4624,227,2916,,f,1749,13,White
330,0987654321,0,0,0,0,0,,f,1262,-5,White
331,Norb,20591,7436501,7648,584,12320,2024-11-20 06:20:28.605,f,1354,-8,Black
332,inis,2568,1482378,1277,308,983,2024-11-21 13:12:31.629,t,1870,7,Black
333,cipri4,875,253914,333,25,514,,f,1801,-11,Black
334,Antonio7,0,0,0,0,0,,f,1543,-3,White
335,Svetlana,5314,2254173,2049,167,3098,2019-01-03 09:15:57.372,f,1515,13,White
336,Arbequina,660,536505,305,12,343,2022-11-24 15:20:13.4,f,1699,11,White
337,cirilek,10352,10468787,5591,521,4236,2022-09-07 16:13:24.991,f,1472,-9,White
338,esesoyyo,4172,2868605,1914,149,2108,2024-11-21 01:43:54.355,f,1241,8,White
339,victor001,1140,1018297,454,24,662,2013-10-08 17:14:38.128,f,1083,-47,Black
340,amisa,27,11238,10,3,14,2013-11-24 10:17:50.337,f,1658,110,Black
341,Last-Soldier,0,0,0,0,0,,f,1620,-11,White
342,jmen,15402,10931790,7691,297,7402,2016-10-17 11:36:56.602,f,1376,8,Black
343,sempes,2254,1082196,904,38,1312,,f,1672,-8,Black
344,good_good,6,0,2,0,4,,f,1551,28,Black
345,castulo,693,294054,362,12,319,,f,1510,-11,Black
346,akb,174,72235,37,3,134,,f,1403,30,Black
347,A4,81,59105,38,2,41,,f,1730,-25,Black
348,Alex911,1912,970080,816,55,1041,2013-08-26 16:31:08.613,f,1630,42,Black
349,ThePersianGulf,12250,1594313,7576,494,4178,2021-02-04 09:52:17.333,f,2097,4,White
350,Lupo,52057,22154144,30862,1234,19942,2024-11-17 06:05:28.143,f,1313,9,White
351,Nago,16,6077,2,1,13,,f,1281,-62,Black
352,Kermek,12265,4469809,3383,326,8548,2015-07-22 04:10:31.044,f,1642,-5,Black
